Danish,English,Plural
welkommen,welcome,welkommen
vær hilset,greetings,vær hilset
hej,hello,hej
at hedde,"called(myself, item)",hedder
hvad,what,hvad
dejligt,nice,dejligte
at møde,to meet,møder
god,good,godt / gode
morgen,morning,morgen
farvel,goodbye,farvel
senere,later,senere
tillykke,congrats,tillykke
tak,thank you,tak
mange,many (items),mange
undskyld,I am sorry,undskyld
en kafe,coffee,kafer
et vand,water,vand
en øl,beer,øl
et nummer,number,numre
en farve,color,farver
blå,blue,blåt
rød,red,rødt
gul,yellow,gul
grøn,green,grønt
brun,brown,brunt
lilla,purple,lilla
lyserød,pink,lyserød
sort,black,sort
hvid,white,hvid
grå,gray,gråt
orange,orange,oranget
et bord,table,borde
en stol,chair,stole
en taske,bag,tasker
en bog,book,bøger
et spejl,mirror,spejle
en kuglepen,pen,kuglepenne
en mad,"food , meal",mad
et brød,bread,brød
en ris,rice,ris
et æg,egg,æg
et kød,meat,kød
svinekød,pork meat,svinekød
en kylling,chicken,høns
en fisk,fish,fisk
en grøntsag,vegetable,grøntsager
en salat,lettuce,salat
et løg,onion,løg
et hvidløg,garlic,hvidløg
en peber,pepperfruit,peberfrugter
en gulerod,carrot,gulerødder
en tomat,tomato,tomater
en frugt,fruit,frugter
et æble,apple,æbler
en banan,banana,bananer
en ananas,pineapple,ananaser
et jordbær,strawberry,jordbær
en drue,grape,druer
at drikke,drink,drikker
en mælk,milk,mælk
en te,tea,te
et sukker,sugar,sukker
en honning,honey,honning
med,with,med
sødemiddel,sweetener,sødemiddel
et dyr,animal,dyr
en kat,cat,katte
en hund,dog,hunde
en fugl,bird,fugle
en elefant,elephant,elefanter
en løve,lion,løver
en bjørn,bear,bjørne
en hest,horse,heste
en tiger,tiger,tigre
en tyr,bull,tyre
en skildpadde,turtle,skildpadder
en gris,pig,grise
en ko,cow,køer
et får,sheep,får
en and,duck,ænder
at løb,to run,løber
at gå,to go,går
at hoppe,to jump,hopper
hurtig,fast,hurtigt
langsom,slow,langsomt
en øvelse,excersise,øvelser
en genemgang,review,genemganger
en lektion,lesson,lektioner
hyggeligt,cozy,hyggeligte
en rygsæk,backpack,rygsække
en seng,bed,senge
en sofa,sofa,sofaer
et papir,paper,papirer
en dør,door,døre
et bestik,cutlery,bestiker
en gaffel,fork,gafler
en kniv,knife,knive
en ske,spoon,skeer
en plade,plate,plader
en skål,bowl,skåle
at behøve,to need,behøver
høj,high / tall,højt
at svømme,swim,svømmer
at danse,dance,danser
at køre,ride / drive,kører
at spille,play,spiller
at svede,sweat,sveder
at kaste,throw,kaster
en dato,date,datoer
en uge,week,uger
en måned,month,måneder
en år ,year,flere år
korte,short,kortet
at sikke,confident,sikker
en pige,girl,piger
glad,happy,glad
trist,sad,trist
kold,cold,koldt
en kob,cup,kopper
en sandwich,sandwich,sandwich
en kage,cake,kager
et stykke,piece,stykker
værsgo,here you go,værsgo
en kvinde,woman,kvinder
en læge,doctor,læger
klog,smart,klog
en mand,man,mænd
en lærer,teacher,lærere
stor,big,stort
gammel,old,gammelt
et sprog,language,sproge
et stave,spell,staver
et fornavn,first name,fornavne
et efternavn,last name,efternavne
parvis,in pairs,parvis
at sprøge,ask,spørger
at indsætte,insert,indsæt
mangler,lacking,manglende
en ord,word,orde
alder,age,alder
alene,alone,alene
sammen,together,sammen
højre,right,til højre
venstre,left,til venstre
stuen,ground floor,stuen
anden,second floor,anden
en kærste,girlfriend(romantic),kærster
en mand,husband,ægtemand
en kone,wife,hustrur
en veninde,friend(female),veninder
en ven,friend(dude),venner
en etage / sal,floor,gulve
gift,married,gift
opmærksom,attentative,opmærksomme
en stem,voice,stemmer
dyrt,expensive,dyrt
et værelse,room,værelser
billigt,cheap,billigt
et træ,tree,træer
et bjerg,mountain,bjerge
et svar,answer,svar
en is,ice / icecream,is
lækker,delicious,lækker
en pære,pear,pærer
ung,young,ung
en dreng,boy,drenge
en sætning,sentance,sætninger
en bil,car,biler
